participante,ImageName,score,saliency_coverage,stationary_entropy,gaze_points_count
1,3,7.0,14.992708333333333,17.0772570434036,414
1,4,7.0,9.359166666666667,16.860704089827188,450
1,5,4.0,14.705208333333333,16.797633803775664,434
1,7,4.0,6.015416666666667,16.461936460921027,450
1,8,4.0,5.395833333333333,16.64851195122466,804
1,9,3.0,8.046666666666667,17.005453533517436,900
1,30,6.0,3.720208333333333,16.313441909367345,826
1,32,5.0,10.407291666666667,16.851771970674683,899
1,33,5.0,2.4714583333333335,15.839391870295032,885
1,36,6.0,11.493125,16.760670372497803,900
1,39,7.0,3.392916666666667,16.31894613084472,900
1,41,3.0,12.370000000000001,16.804858228226106,901
1,43,4.0,6.948958333333333,16.64457614174323,860
1,47,4.0,15.176666666666666,17.247541597573047,875
1,48,3.0,5.915416666666666,16.83661964927446,901
1,50,7.0,11.113541666666666,17.03237766534319,857
1,51,3.0,1.46875,16.091870411672698,881
1,56,3.0,2.359583333333333,15.954779831452418,855
1,57,1.0,9.768749999999999,16.420367732477764,899
1,58,4.0,9.5725,17.33410744719456,900
1,63,2.0,4.382291666666667,16.594917530634294,900
1,66,6.0,6.448125,16.467081109461304,901
1,70,5.0,12.140416666666667,16.91659490400823,901
1,74,3.0,8.946666666666667,16.578182661503796,900
1,76,5.0,2.520625,16.271450248847632,840
1,80,4.0,14.9075,16.88523864953077,900
1,81,7.0,5.2941666666666665,16.04264015090534,900
1,84,4.0,3.411458333333333,16.01322876365412,899
1,85,6.0,6.567708333333333,16.804325873829118,900
1,86,4.0,8.307916666666666,16.25646121366307,900
1,88,4.0,3.625625,16.408382454582775,891
1,92,5.0,8.233333333333333,16.521579982201388,900
1,93,3.0,16.410625,17.222292824525567,900
1,101,4.0,9.418333333333333,16.74824993670005,897
1,103,4.0,5.049791666666667,16.646572662675304,900
1,104,6.0,5.60875,16.60681138142375,875
1,107,5.0,6.576666666666667,16.151062306023896,900
1,110,6.0,14.524583333333332,17.053025446115186,869
1,114,3.0,9.845208333333332,16.89878526355813,894
1,122,4.0,1.0447916666666666,15.733818006812392,901
1,124,5.0,6.195833333333333,16.180471767765106,900
1,128,3.0,7.209583333333333,16.678132536674646,878
1,129,7.0,6.925416666666667,16.880782316454603,901
1,134,5.0,1.0835416666666666,15.475260323059661,900
1,137,3.0,1.6268749999999998,16.146537885646556,831
1,138,5.0,9.846666666666666,16.57802879400288,901
1,142,4.0,7.8254166666666665,16.761292847333227,899
1,143,4.0,2.185416666666667,16.31505886161881,900
1,144,7.0,9.408125,16.58538064412007,901
1,146,5.0,6.676666666666667,16.467846726994882,900
2,0,4.0,4.946666666666666,16.477613829100875,435
2,2,7.0,11.747291666666666,16.952554780176445,440
